t,Cent.Nivo,Cent.Treg,Cent.Teff_1_0,Peri.Nivo,Peri.Treg,Peri.Teff_1_0,Tum.Nivo,Tum.C1,Tum.Cp,Tum.APC,Tum.mAPC,Tum.Ckine_Mat,Tum.Treg,Tum.Teff_PD1,Tum.Teff_PD1_syn,Tum.Teff_PD1_Nivo,Tum.Teff_PD1_Nivo_syn,Tum.Teff_PD1_Nivo_PD1_syn,Tum.C1_PDL1_syn,Tum.C1_PDL2_syn,Tum.C1_PDL1_Teff_PD1,Tum.C1_PDL2_Teff_PD1,Tum.D1_0,Tum.Teff_1_0,Tum.Teff_exhausted,LN.Nivo,LN.APC,LN.mAPC,LN.nT_CD8,LN.nT_CD4,LN.aTreg_CD4,LN.Treg,LN.IL2,LN.Cp,LN.D1_0,LN.aT_1_0,LN.Teff_1_0,mAPC_Endo.Cp,mAPC_Endo.cpt,mAPC_Endo.M1,mAPC_Endo.cpt_M1,mAPC_Endo.D1_0,mAPC_Endo.p1_0,mAPC_Endo.p1_0_M1,mAPC_Surf.cpt_M1,mAPC_Surf.M1,mAPC_Surf.p1_0_M1,Cent.nT_CD8,Cent.nT_CD4,Tum.DAMP,Tum.C1_PDL1,Tum.C1_PDL2,LN.TCR_p1_0_M,mAPC_Surf.cpt_M,mAPC_Surf.p1_0_M
0,0,1.56555e+08,4.31173e+09,0,2.63524e+11,2.65872e+12,0,7.8109e+09,8.85972e-10,367091,69082.3,1.00737,1.21144e+07,60000,14989.5,0,0,0,67406.4,4381.42,25616.9,3967.93,3.26038e-10,5.44069e+07,2.71424e+08,0,2.51812e+07,1.38165e+07,3.94131e+09,6.71142e+09,1.42396e+07,1.10418e+08,292.616,3.18949e-09,1.17373e-09,6.63218e+06,1.13127e+09,4.11315e-23,3.94887e-24,9.99987e-20,4.90622e-24,1.51364e-23,1.45315e-24,1.80563e-24,1.63258e-20,1.33534e-23,8.89499e-21,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,9831.4,5356.56
86400,4.64384e-06,1.56672e+08,4.31314e+09,8.7563e-08,2.63554e+11,2.6593e+12,1.1325e-06,7.67089e+09,2.19265e-07,224032,91332.6,0.136333,1.21146e+07,9.88868,0.0254354,59990.1,308.959,22129.9,93019.1,8348.01,4.22919,1.33746,8.06895e-08,5.6925e+07,2.68989e+08,1.57815e-07,2.51814e+07,1.39347e+07,3.94125e+09,6.71112e+09,1.462e+07,1.13038e+08,2.91216e-07,5.21097e-07,1.91764e-07,6.71243e+06,1.14343e+09,9.93929e-21,9.8095e-22,8.51099e-20,1.02671e-21,3.65766e-21,3.60983e-22,3.77862e-22,3.33615e-20,2.46041e-23,1.51713e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,20090.3,9136.17
172800,3.86831e-06,1.57337e+08,4.31801e+09,1.39938e-07,2.63775e+11,2.66077e+12,9.52476e-07,7.51044e+09,2.62302e-07,189541,73377.6,0.0184507,1.21103e+07,11.7574,0.0277381,59988.2,283.471,22142.4,93018.7,8347.89,4.61205,1.45852,9.65272e-08,5.93976e+07,2.66469e+08,1.32732e-07,2.51816e+07,1.3978e+07,3.94103e+09,6.71005e+09,1.64834e+07,1.27007e+08,2.84715e-07,8.28172e-07,3.04767e-07,7.10985e+06,1.2089e+09,1.21089e-20,1.22093e-21,7.57781e-20,1.1476e-21,4.45608e-21,4.49294e-22,4.22352e-22,6.47713e-20,4.78869e-23,2.67661e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,39005.3,16118.5
259200,3.35767e-06,1.58641e+08,4.32817e+09,1.69808e-07,2.64451e+11,2.66438e+12,8.18887e-07,7.33926e+09,2.82602e-07,178830,67871.1,0.00249714,1.21017e+07,13.6749,0.0299267,59986.3,262.859,22152.4,93018.4,8347.77,4.97593,1.57358,1.03998e-07,6.16985e+07,2.63989e+08,1.14113e-07,2.51818e+07,1.3979e+07,3.94077e+09,6.70885e+09,1.95866e+07,1.50735e+08,2.75102e-07,9.25928e-07,3.40741e-07,7.78461e+06,1.32226e+09,1.30704e-20,1.32588e-21,7.30081e-20,1.20081e-21,4.8099e-21,4.87917e-22,4.41936e-22,9.78848e-20,7.25913e-23,3.90219e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,58946.2,23499
345600,3.01021e-06,1.60574e+08,4.34465e+09,1.8578e-07,2.65771e+11,2.6711e+12,7.2848e-07,7.15796e+09,3.00655e-07,173180,65433.7,0.000338064,1.2089e+07,15.3716,0.0317388,59984.6,247.932,22159.7,93018.1,8347.68,5.27721,1.66884,1.10641e-07,6.38282e+07,2.61546e+08,1.01512e-07,2.51819e+07,1.39657e+07,3.94054e+09,6.70777e+09,2.35355e+07,1.8113e+08,2.64527e-07,9.72611e-07,3.57921e-07,8.66077e+06,1.47043e+09,1.39095e-20,1.41528e-21,7.15967e-20,1.25699e-21,5.1187e-21,5.20814e-22,4.62611e-22,1.32277e-19,9.82623e-23,5.17838e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,79657.5,31184.2
432000,2.76513e-06,1.63122e+08,4.36816e+09,1.93191e-07,2.6786e+11,2.6816e+12,6.6536e-07,6.96713e+09,3.18931e-07,168470,63612.5,4.58712e-05,1.20725e+07,16.8295,0.0332174,59983.2,236.952,22165,93017.8,8347.6,5.52304,1.74657,1.17367e-07,6.57881e+07,2.59142e+08,9.27143e-08,2.51821e+07,1.39446e+07,3.94035e+09,6.70686e+09,2.80472e+07,2.15967e+08,2.54382e-07,1.00777e-06,3.70859e-07,9.68216e+06,1.6437e+09,1.47567e-20,1.5053e-21,7.04058e-20,1.31476e-21,5.43047e-21,5.5394e-22,4.83874e-22,1.68012e-19,1.24949e-22,6.50761e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,101177,39188.8
518400,2.58463e-06,1.66269e+08,4.39919e+09,1.95357e-07,2.70796e+11,2.69634e+12,6.19429e-07,6.76736e+09,3.37809e-07,163806,61860.3,6.33399e-06,1.20521e+07,18.077,0.0344325,59981.9,228.632,22169.1,93017.6,8347.54,5.72505,1.81044,1.24314e-07,6.75804e+07,2.56773e+08,8.6313e-08,2.51823e+07,1.3917e+07,3.94019e+09,6.70611e+09,3.29166e+07,2.53634e+08,2.45555e-07,1.03884e-06,3.82294e-07,1.08068e+07,1.83484e+09,1.56313e-20,1.59846e-21,6.9247e-20,1.37323e-21,5.75233e-21,5.88225e-22,5.0539e-22,2.05107e-19,1.52666e-22,7.89065e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,123515,47517.5
604800,2.44518e-06,1.69995e+08,4.43803e+09,1.94338e-07,2.74623e+11,2.71566e+12,5.84398e-07,6.55924e+09,3.57433e-07,159044,60047.3,9.90202e-07,1.20281e+07,19.1603,0.0354537,59980.8,222.078,22172.2,93017.4,8347.48,5.89484,1.86413,1.31535e-07,6.92075e+07,2.54439e+08,8.14309e-08,2.51825e+07,1.38828e+07,3.94005e+09,6.70548e+09,3.79923e+07,2.92945e+08,2.38597e-07,1.06709e-06,3.9269e-07,1.20027e+07,2.03833e+09,1.65402e-20,1.6956e-21,6.80889e-20,1.43237e-21,6.0868e-21,6.2397e-22,5.27158e-22,2.43569e-19,1.8142e-22,9.32789e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,146677,56172.6
691200,2.33211e-06,1.74276e+08,4.48482e+09,1.91414e-07,2.79361e+11,2.73974e+12,5.56348e-07,6.34335e+09,3.77931e-07,154287,58133,2.7434e-07,1.20005e+07,20.1259,0.0363397,59979.9,216.689,22174.8,93017.3,8347.44,6.04215,1.9107,1.39079e-07,7.06721e+07,2.52141e+08,7.7522e-08,2.51826e+07,1.38419e+07,3.93993e+09,6.70494e+09,4.31624e+07,3.33018e+08,2.33827e-07,1.09274e-06,4.02129e-07,1.32452e+07,2.24992e+09,1.74894e-20,1.79737e-21,6.69226e-20,1.49239e-21,6.43608e-21,6.61425e-22,5.49248e-22,2.83407e-19,2.11218e-22,1.08198e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,170668,65157
777600,2.23627e-06,1.79089e+08,4.53962e+09,1.87376e-07,2.8501e+11,2.76869e+12,5.32838e-07,6.12028e+09,3.99443e-07,149428,56211.7,1.85118e-07,1.19692e+07,21.0137,0.0371354,59979,212.067,22177,93017.2,8347.4,6.17444,1.95253,1.46995e-07,7.19768e+07,2.49876e+08,7.42457e-08,2.51828e+07,1.37942e+07,3.93983e+09,6.70448e+09,4.83435e+07,3.732e+08,2.31404e-07,1.11584e-06,4.10628e-07,1.4515e+07,2.46631e+09,1.84852e-20,1.90453e-21,6.57423e-20,1.55352e-21,6.80254e-21,7.00856e-22,5.71744e-22,3.2464e-19,2.42073e-22,1.23672e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,195498,74475.3
864000,2.15195e-06,1.84406e+08,4.60237e+09,1.82716e-07,2.91559e+11,2.80254e+12,5.1234e-07,5.89059e+09,4.22129e-07,144201,54273.3,1.81099e-07,1.19344e+07,21.8541,0.0378732,59978.1,207.954,22179,93017,8347.36,6.2971,1.99131,1.55343e-07,7.3124e+07,2.47644e+08,7.13894e-08,2.5183e+07,1.37399e+07,3.93974e+09,6.70409e+09,5.34737e+07,4.13005e+08,2.31371e-07,1.1364e-06,4.18195e-07,1.57973e+07,2.68494e+09,1.9535e-20,2.01788e-21,6.45426e-20,1.61598e-21,7.18886e-21,7.4257e-22,5.94732e-22,3.67289e-19,2.74002e-22,1.3971e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,221181,84133.2
950400,2.07557e-06,1.90202e+08,4.67297e+09,1.77736e-07,2.98985e+11,2.84127e+12,4.93902e-07,5.65485e+09,4.46169e-07,138688,52250.2,1.89072e-07,1.18958e+07,22.6696,0.0385756,59977.3,204.185,22180.8,93016.9,8347.32,6.41388,2.02823,1.6419e-07,7.41163e+07,2.45446e+08,6.882e-08,2.51832e+07,1.36788e+07,3.93967e+09,6.70374e+09,5.85075e+07,4.52075e+08,2.33694e-07,1.15445e-06,4.24837e-07,1.70802e+07,2.90378e+09,2.06472e-20,2.1384e-21,6.33178e-20,1.68003e-21,7.59815e-21,7.8692e-22,6.18302e-22,4.11384e-19,3.07028e-22,1.56324e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,247736,94138
1.0368e+06,2.00488e-06,1.96449e+08,4.75125e+09,1.72623e-07,3.07257e+11,2.88482e+12,4.76922e-07,5.41363e+09,4.71777e-07,132996,50155.4,1.99203e-07,1.18535e+07,23.4764,0.039258,59976.5,200.651,22182.5,93016.8,8347.28,6.52733,2.06411,1.73614e-07,7.49561e+07,2.43281e+08,6.6454e-08,2.51833e+07,1.36107e+07,3.9396e+09,6.70344e+09,6.34121e+07,4.90152e+08,2.38285e-07,1.16999e-06,4.30556e-07,1.83546e+07,3.12126e+09,2.18315e-20,2.26719e-21,6.20622e-20,1.74591e-21,8.034e-21,8.34316e-22,6.42551e-22,4.56963e-19,3.41178e-22,1.73528e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,275183,104499
1.1232e+06,1.93847e-06,2.03121e+08,4.83701e+09,1.67491e-07,3.16343e+11,2.9331e+12,4.61024e-07,5.16748e+09,4.99202e-07,127171,48006.4,2.10249e-07,1.18074e+07,24.2857,0.0399307,59975.7,197.284,22184.1,93016.7,8347.25,6.63918,2.09947,1.83706e-07,7.5646e+07,2.41149e+08,6.42387e-08,2.51835e+07,1.35355e+07,3.93954e+09,6.70317e+09,6.81639e+07,5.27052e+08,2.45017e-07,1.18303e-06,4.35356e-07,1.96133e+07,3.33614e+09,2.30995e-20,2.40559e-21,6.07698e-20,1.81392e-21,8.50062e-21,8.85244e-22,6.67579e-22,5.04069e-19,3.76485e-22,1.91342e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,303550,115226
