t,Cent.Nivo,Cent.Treg,Cent.Teff_1_0,Peri.Nivo,Peri.Treg,Peri.Teff_1_0,Tum.Nivo,Tum.C1,Tum.Cp,Tum.APC,Tum.mAPC,Tum.Ckine_Mat,Tum.Treg,Tum.Teff_PD1,Tum.Teff_PD1_syn,Tum.Teff_PD1_Nivo,Tum.Teff_PD1_Nivo_syn,Tum.Teff_PD1_Nivo_PD1_syn,Tum.C1_PDL1_syn,Tum.C1_PDL2_syn,Tum.C1_PDL1_Teff_PD1,Tum.C1_PDL2_Teff_PD1,Tum.D1_0,Tum.Teff_1_0,Tum.Teff_exhausted,LN.Nivo,LN.APC,LN.mAPC,LN.nT_CD8,LN.nT_CD4,LN.aTreg_CD4,LN.Treg,LN.IL2,LN.Cp,LN.D1_0,LN.aT_1_0,LN.Teff_1_0,mAPC_Endo.Cp,mAPC_Endo.cpt,mAPC_Endo.M1,mAPC_Endo.cpt_M1,mAPC_Endo.D1_0,mAPC_Endo.p1_0,mAPC_Endo.p1_0_M1,mAPC_Surf.cpt_M1,mAPC_Surf.M1,mAPC_Surf.p1_0_M1,Cent.nT_CD8,Cent.nT_CD4,Tum.DAMP,Tum.C1_PDL1,Tum.C1_PDL2,LN.TCR_p1_0_M,mAPC_Surf.cpt_M,mAPC_Surf.p1_0_M
0,0,1.56555e+08,4.31173e+09,0,2.63524e+11,2.65872e+12,0,7.8109e+09,8.85972e-10,367091,69082.3,1.00737,1.21144e+07,60000,14989.5,0,0,0,67406.4,4381.42,25616.9,3967.93,3.26038e-10,5.44069e+07,2.71424e+08,0,2.51812e+07,1.38165e+07,3.94131e+09,6.71142e+09,1.42396e+07,1.10418e+08,292.616,3.18949e-09,1.17373e-09,6.63218e+06,1.13127e+09,4.11315e-23,3.94887e-24,9.99987e-20,4.90622e-24,1.51364e-23,1.45315e-24,1.80563e-24,1.63258e-20,1.33534e-23,8.89499e-21,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,9831.4,5356.56
86400,4.64384e-06,1.56672e+08,4.31314e+09,8.7563e-08,2.63554e+11,2.6593e+12,1.1325e-06,7.67089e+09,2.19265e-07,224032,91332.6,0.136333,1.21146e+07,9.88868,0.0254354,59990.1,308.959,22129.9,93019.1,8348.01,4.22919,1.33746,8.06895e-08,5.6925e+07,2.68989e+08,1.57815e-07,2.51814e+07,1.39347e+07,3.94125e+09,6.71112e+09,1.462e+07,1.13038e+08,2.91216e-07,5.21097e-07,1.91764e-07,6.71243e+06,1.14343e+09,9.93929e-21,9.8095e-22,8.51099e-20,1.02671e-21,3.65766e-21,3.60983e-22,3.77862e-22,3.33615e-20,2.46041e-23,1.51713e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,20090.3,9136.17
172800,3.86831e-06,1.57337e+08,4.31801e+09,1.39938e-07,2.63775e+11,2.66077e+12,9.52476e-07,7.51044e+09,2.62302e-07,189541,73377.6,0.0184507,1.21103e+07,11.7574,0.0277381,59988.2,283.471,22142.4,93018.7,8347.89,4.61205,1.45852,9.65272e-08,5.93976e+07,2.66469e+08,1.32732e-07,2.51816e+07,1.3978e+07,3.94103e+09,6.71005e+09,1.64834e+07,1.27007e+08,2.84715e-07,8.28172e-07,3.04767e-07,7.10985e+06,1.2089e+09,1.21089e-20,1.22093e-21,7.57781e-20,1.1476e-21,4.45608e-21,4.49294e-22,4.22352e-22,6.47713e-20,4.78869e-23,2.67661e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,39005.3,16118.5
259200,3.35767e-06,1.58641e+08,4.32817e+09,1.69808e-07,2.64451e+11,2.66438e+12,8.18887e-07,7.33926e+09,2.82602e-07,178830,67871.1,0.00249714,1.21017e+07,13.6749,0.0299267,59986.3,262.859,22152.4,93018.4,8347.77,4.97593,1.57358,1.03998e-07,6.16985e+07,2.63989e+08,1.14113e-07,2.51818e+07,1.3979e+07,3.94077e+09,6.70885e+09,1.95866e+07,1.50735e+08,2.75102e-07,9.25928e-07,3.40741e-07,7.78461e+06,1.32226e+09,1.30704e-20,1.32588e-21,7.30081e-20,1.20081e-21,4.8099e-21,4.87917e-22,4.41936e-22,9.78848e-20,7.25913e-23,3.90219e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,58946.2,23499
345600,3.01021e-06,1.60574e+08,4.34465e+09,1.8578e-07,2.65771e+11,2.6711e+12,7.2848e-07,7.15796e+09,3.00655e-07,173180,65433.7,0.000338064,1.2089e+07,15.3716,0.0317388,59984.6,247.932,22159.7,93018.1,8347.68,5.27721,1.66884,1.10641e-07,6.38282e+07,2.61546e+08,1.01512e-07,2.51819e+07,1.39657e+07,3.94054e+09,6.70777e+09,2.35355e+07,1.8113e+08,2.64527e-07,9.72611e-07,3.57921e-07,8.66077e+06,1.47043e+09,1.39095e-20,1.41528e-21,7.15967e-20,1.25699e-21,5.1187e-21,5.20814e-22,4.62611e-22,1.32277e-19,9.82623e-23,5.17838e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,79657.5,31184.2
432000,2.76513e-06,1.63122e+08,4.36816e+09,1.93191e-07,2.6786e+11,2.6816e+12,6.6536e-07,6.96713e+09,3.18931e-07,168470,63612.5,4.58712e-05,1.20725e+07,16.8295,0.0332174,59983.2,236.952,22165,93017.8,8347.6,5.52304,1.74657,1.17367e-07,6.57881e+07,2.59142e+08,9.27143e-08,2.51821e+07,1.39446e+07,3.94035e+09,6.70686e+09,2.80472e+07,2.15967e+08,2.54382e-07,1.00777e-06,3.70859e-07,9.68216e+06,1.6437e+09,1.47567e-20,1.5053e-21,7.04058e-20,1.31476e-21,5.43047e-21,5.5394e-22,4.83874e-22,1.68012e-19,1.24949e-22,6.50761e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,101177,39188.8
518400,2.58463e-06,1.66269e+08,4.39919e+09,1.95357e-07,2.70796e+11,2.69634e+12,6.19429e-07,6.76736e+09,3.37809e-07,163806,61860.3,6.33399e-06,1.20521e+07,18.077,0.0344325,59981.9,228.632,22169.1,93017.6,8347.54,5.72505,1.81044,1.24314e-07,6.75804e+07,2.56773e+08,8.6313e-08,2.51823e+07,1.3917e+07,3.94019e+09,6.70611e+09,3.29166e+07,2.53634e+08,2.45555e-07,1.03884e-06,3.82294e-07,1.08068e+07,1.83484e+09,1.56313e-20,1.59846e-21,6.9247e-20,1.37323e-21,5.75233e-21,5.88225e-22,5.0539e-22,2.05107e-19,1.52666e-22,7.89065e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,123515,47517.5
604800,2.44518e-06,1.69995e+08,4.43803e+09,1.94338e-07,2.74623e+11,2.71566e+12,5.84398e-07,6.55924e+09,3.57433e-07,159044,60047.3,9.90202e-07,1.20281e+07,19.1603,0.0354537,59980.8,222.078,22172.2,93017.4,8347.48,5.89484,1.86413,1.31535e-07,6.92075e+07,2.54439e+08,8.14309e-08,2.51825e+07,1.38828e+07,3.94005e+09,6.70548e+09,3.79923e+07,2.92945e+08,2.38597e-07,1.06709e-06,3.9269e-07,1.20027e+07,2.03833e+09,1.65402e-20,1.6956e-21,6.80889e-20,1.43237e-21,6.0868e-21,6.2397e-22,5.27158e-22,2.43569e-19,1.8142e-22,9.32789e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,146677,56172.6
691200,2.33211e-06,1.74276e+08,4.48482e+09,1.91414e-07,2.79361e+11,2.73974e+12,5.56348e-07,6.34335e+09,3.77931e-07,154287,58133,2.7434e-07,1.20005e+07,20.1259,0.0363397,59979.9,216.689,22174.8,93017.3,8347.44,6.04215,1.9107,1.39079e-07,7.06721e+07,2.52141e+08,7.7522e-08,2.51826e+07,1.38419e+07,3.93993e+09,6.70494e+09,4.31624e+07,3.33018e+08,2.33827e-07,1.09274e-06,4.02129e-07,1.32452e+07,2.24992e+09,1.74894e-20,1.79737e-21,6.69226e-20,1.49239e-21,6.43608e-21,6.61425e-22,5.49248e-22,2.83407e-19,2.11218e-22,1.08198e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,170668,65157
777600,6.88011e-06,1.79089e+08,4.53962e+09,2.74939e-07,2.8501e+11,2.76869e+12,1.66534e-06,6.12003e+09,3.99812e-07,149426,56211.3,1.85271e-07,1.19692e+07,6.72508,0.0209626,59993.3,374.336,22097.7,93019.8,8348.25,3.48552,1.1023,1.47131e-07,7.20168e+07,2.49836e+08,2.3206e-07,2.51828e+07,1.37942e+07,3.93983e+09,6.70448e+09,4.83435e+07,3.732e+08,2.31403e-07,1.1164e-06,4.10835e-07,1.45151e+07,2.46632e+09,1.85013e-20,1.90623e-21,6.57293e-20,1.55457e-21,6.80848e-21,7.01484e-22,5.72131e-22,3.24653e-19,2.42082e-22,1.23677e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,195506,74478.3
864000,6.02026e-06,1.84406e+08,4.60237e+09,3.22654e-07,2.91559e+11,2.80254e+12,1.46482e-06,5.88989e+09,4.22836e-07,144190,54270.6,1.81394e-07,1.19344e+07,7.64558,0.022355,59992.4,351.202,22109.1,93019.6,8348.17,3.71703,1.17551,1.55604e-07,7.32102e+07,2.47558e+08,2.04122e-07,2.5183e+07,1.37399e+07,3.93974e+09,6.70409e+09,5.3474e+07,4.13007e+08,2.3137e-07,1.1378e-06,4.18709e-07,1.57974e+07,2.68495e+09,1.95669e-20,2.02132e-21,6.4509e-20,1.61787e-21,7.20061e-21,7.43835e-22,5.95426e-22,3.67345e-19,2.74041e-22,1.3973e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,221215,84145.6
950400,5.43324e-06,1.90203e+08,4.67297e+09,3.47544e-07,2.98985e+11,2.84127e+12,1.31279e-06,5.65351e+09,4.47225e-07,138665,52243.3,1.89513e-07,1.18958e+07,8.53085,0.0236217,59991.5,332.507,22118.3,93019.4,8348.11,3.92763,1.2421,1.64579e-07,7.42463e+07,2.45315e+08,1.82933e-07,2.51832e+07,1.36787e+07,3.93967e+09,6.70374e+09,5.85085e+07,4.52082e+08,2.33692e-07,1.15658e-06,4.2562e-07,1.70804e+07,2.90381e+09,2.06952e-20,2.14361e-21,6.32654e-20,1.6827e-21,7.61584e-21,7.88838e-22,6.19287e-22,4.11505e-19,3.07115e-22,1.56368e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,247809,94164.9
1.0368e+06,5.01509e-06,1.9645e+08,4.75126e+09,3.58403e-07,3.07258e+11,2.88482e+12,1.2054e-06,5.41148e+09,4.7322e-07,132956,50142.7,1.99804e-07,1.18534e+07,9.29073,0.0246574,59990.7,318.638,22125.1,93019.2,8348.05,4.09984,1.29656,1.74145e-07,7.5128e+07,2.43107e+08,1.67966e-07,2.51833e+07,1.36106e+07,3.9396e+09,6.70344e+09,6.3414e+07,4.90167e+08,2.3828e-07,1.17279e-06,4.31588e-07,1.8355e+07,3.12133e+09,2.18974e-20,2.27438e-21,6.1991e-20,1.74941e-21,8.05826e-21,8.3696e-22,6.43838e-22,4.57171e-19,3.41329e-22,1.73605e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,275309,104545
1.1232e+06,4.7036e-06,2.03123e+08,4.83702e+09,3.60681e-07,3.16344e+11,2.9331e+12,1.12638e-06,5.16436e+09,5.01083e-07,127109,47986.3,2.11031e-07,1.18073e+07,9.94239,0.0255123,59990.1,308.033,22130.3,93019.1,8348.01,4.24197,1.3415,1.84399e-07,7.58582e+07,2.40933e+08,1.56953e-07,2.51835e+07,1.35354e+07,3.93954e+09,6.70317e+09,6.81671e+07,5.27076e+08,2.45009e-07,1.18648e-06,4.36624e-07,1.9614e+07,3.33626e+09,2.31856e-20,2.41502e-21,6.0679e-20,1.81828e-21,8.53231e-21,8.88715e-22,6.69186e-22,5.04388e-19,3.76717e-22,1.9146e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,303742,115297
