t,Cent.Nivo,Cent.Treg,Cent.Teff_1_0,Peri.Nivo,Peri.Treg,Peri.Teff_1_0,Tum.Nivo,Tum.C1,Tum.Cp,Tum.APC,Tum.mAPC,Tum.Ckine_Mat,Tum.Treg,Tum.Teff_PD1,Tum.Teff_PD1_syn,Tum.Teff_PD1_Nivo,Tum.Teff_PD1_Nivo_syn,Tum.Teff_PD1_Nivo_PD1_syn,Tum.C1_PDL1_syn,Tum.C1_PDL2_syn,Tum.C1_PDL1_Teff_PD1,Tum.C1_PDL2_Teff_PD1,Tum.D1_0,Tum.Teff_1_0,Tum.Teff_exhausted,LN.Nivo,LN.APC,LN.mAPC,LN.nT_CD8,LN.nT_CD4,LN.aTreg_CD4,LN.Treg,LN.IL2,LN.Cp,LN.D1_0,LN.aT_1_0,LN.Teff_1_0,mAPC_Endo.Cp,mAPC_Endo.cpt,mAPC_Endo.M1,mAPC_Endo.cpt_M1,mAPC_Endo.D1_0,mAPC_Endo.p1_0,mAPC_Endo.p1_0_M1,mAPC_Surf.cpt_M1,mAPC_Surf.M1,mAPC_Surf.p1_0_M1,Cent.nT_CD8,Cent.nT_CD4,Tum.DAMP,Tum.C1_PDL1,Tum.C1_PDL2,LN.TCR_p1_0_M,mAPC_Surf.cpt_M,mAPC_Surf.p1_0_M
0,0,1.56555e+08,4.31173e+09,0,2.63524e+11,2.65872e+12,0,7.8109e+09,8.85972e-10,367091,69082.3,1.00737,1.21144e+07,60000,14989.5,0,0,0,67406.4,4381.42,25616.9,3967.93,3.26038e-10,5.44069e+07,2.71424e+08,0,2.51812e+07,1.38165e+07,3.94131e+09,6.71142e+09,1.42396e+07,1.10418e+08,292.616,3.18949e-09,1.17373e-09,6.63218e+06,1.13127e+09,4.11315e-23,3.94887e-24,9.99987e-20,4.90622e-24,1.51364e-23,1.45315e-24,1.80563e-24,1.63258e-20,1.33534e-23,8.89499e-21,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,9831.4,5356.56
86400,4.64384e-06,1.56672e+08,4.31314e+09,8.7563e-08,2.63554e+11,2.6593e+12,1.1325e-06,7.67089e+09,2.19265e-07,224032,91332.6,0.136333,1.21146e+07,9.88868,0.0254354,59990.1,308.959,22129.9,93019.1,8348.01,4.22919,1.33746,8.06895e-08,5.6925e+07,2.68989e+08,1.57815e-07,2.51814e+07,1.39347e+07,3.94125e+09,6.71112e+09,1.462e+07,1.13038e+08,2.91216e-07,5.21097e-07,1.91764e-07,6.71243e+06,1.14343e+09,9.93929e-21,9.8095e-22,8.51099e-20,1.02671e-21,3.65766e-21,3.60983e-22,3.77862e-22,3.33615e-20,2.46041e-23,1.51713e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,20090.3,9136.17
172800,3.86831e-06,1.57337e+08,4.31801e+09,1.39938e-07,2.63775e+11,2.66077e+12,9.52476e-07,7.51044e+09,2.62302e-07,189541,73377.6,0.0184507,1.21103e+07,11.7574,0.0277381,59988.2,283.471,22142.4,93018.7,8347.89,4.61205,1.45852,9.65272e-08,5.93976e+07,2.66469e+08,1.32732e-07,2.51816e+07,1.3978e+07,3.94103e+09,6.71005e+09,1.64834e+07,1.27007e+08,2.84715e-07,8.28172e-07,3.04767e-07,7.10985e+06,1.2089e+09,1.21089e-20,1.22093e-21,7.57781e-20,1.1476e-21,4.45608e-21,4.49294e-22,4.22352e-22,6.47713e-20,4.78869e-23,2.67661e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,39005.3,16118.5
259200,3.35767e-06,1.58641e+08,4.32817e+09,1.69808e-07,2.64451e+11,2.66438e+12,8.18887e-07,7.33926e+09,2.82602e-07,178830,67871.1,0.00249714,1.21017e+07,13.6749,0.0299267,59986.3,262.859,22152.4,93018.4,8347.77,4.97593,1.57358,1.03998e-07,6.16985e+07,2.63989e+08,1.14113e-07,2.51818e+07,1.3979e+07,3.94077e+09,6.70885e+09,1.95866e+07,1.50735e+08,2.75102e-07,9.25928e-07,3.40741e-07,7.78461e+06,1.32226e+09,1.30704e-20,1.32588e-21,7.30081e-20,1.20081e-21,4.8099e-21,4.87917e-22,4.41936e-22,9.78848e-20,7.25913e-23,3.90219e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,58946.2,23499
345600,3.01021e-06,1.60574e+08,4.34465e+09,1.8578e-07,2.65771e+11,2.6711e+12,7.2848e-07,7.15796e+09,3.00655e-07,173180,65433.7,0.000338064,1.2089e+07,15.3716,0.0317388,59984.6,247.932,22159.7,93018.1,8347.68,5.27721,1.66884,1.10641e-07,6.38282e+07,2.61546e+08,1.01512e-07,2.51819e+07,1.39657e+07,3.94054e+09,6.70777e+09,2.35355e+07,1.8113e+08,2.64527e-07,9.72611e-07,3.57921e-07,8.66077e+06,1.47043e+09,1.39095e-20,1.41528e-21,7.15967e-20,1.25699e-21,5.1187e-21,5.20814e-22,4.62611e-22,1.32277e-19,9.82623e-23,5.17838e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,79657.5,31184.2
432000,7.40897e-06,1.63122e+08,4.36816e+09,2.80753e-07,2.6786e+11,2.6816e+12,1.79786e-06,6.96697e+09,3.19149e-07,168469,63612.1,4.58713e-05,1.20725e+07,6.22942,0.0201711,59993.8,388.898,22090.5,93020,8348.29,3.35392,1.06068,1.17447e-07,6.58168e+07,2.59113e+08,2.50529e-07,2.51821e+07,1.39446e+07,3.94035e+09,6.70686e+09,2.80473e+07,2.15967e+08,2.54382e-07,1.00814e-06,3.70997e-07,9.68217e+06,1.6437e+09,1.47662e-20,1.50629e-21,7.03975e-20,1.31545e-21,5.43398e-21,5.54306e-22,4.84127e-22,1.68021e-19,1.24954e-22,6.50793e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,101182,39190.7
518400,6.45295e-06,1.6627e+08,4.39919e+09,3.35295e-07,2.70796e+11,2.69635e+12,1.5719e-06,6.76687e+09,3.38246e-07,163799,61858.3,6.33415e-06,1.20521e+07,7.12477,0.0215767,59992.9,363.769,22102.9,93019.7,8348.21,3.58762,1.13458,1.24475e-07,6.76441e+07,2.56709e+08,2.19045e-07,2.51823e+07,1.3917e+07,3.94019e+09,6.70611e+09,3.2917e+07,2.53637e+08,2.45553e-07,1.03983e-06,3.82657e-07,1.08069e+07,1.83485e+09,1.5651e-20,1.60055e-21,6.9224e-20,1.37454e-21,5.75958e-21,5.88993e-22,5.05875e-22,2.05145e-19,1.52692e-22,7.89204e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,123538,47525.9
604800,5.80285e-06,1.69995e+08,4.43803e+09,3.64146e-07,2.74623e+11,2.71566e+12,1.40329e-06,6.55828e+09,3.58098e-07,159028,60042.3,9.90492e-07,1.20281e+07,7.98078,0.0228441,59992,343.739,22112.8,93019.5,8348.15,3.79835,1.20122,1.3178e-07,6.93056e+07,2.54341e+08,1.95543e-07,2.51825e+07,1.38828e+07,3.94005e+09,6.70548e+09,3.79936e+07,2.92954e+08,2.38593e-07,1.06866e-06,3.93267e-07,1.2003e+07,2.03837e+09,1.65704e-20,1.69882e-21,6.80516e-20,1.43429e-21,6.09792e-21,6.25158e-22,5.27865e-22,2.43652e-19,1.8148e-22,9.33098e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,146727,56191.2
691200,5.34231e-06,1.74277e+08,4.48483e+09,3.77194e-07,2.79361e+11,2.73974e+12,1.28483e-06,6.34177e+09,3.78845e-07,154259,58123.8,2.74724e-07,1.20004e+07,8.71647,0.0238802,59991.3,328.934,22120.1,93019.4,8348.09,3.97061,1.25569,1.39415e-07,7.08038e+07,2.52007e+08,1.79034e-07,2.51826e+07,1.38419e+07,3.93993e+09,6.70494e+09,4.3165e+07,3.33038e+08,2.3382e-07,1.09486e-06,4.0291e-07,1.32458e+07,2.25001e+09,1.7531e-20,1.80185e-21,6.6871e-20,1.49494e-21,6.45142e-21,6.63072e-22,5.50185e-22,2.83554e-19,2.11324e-22,1.08253e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,170756,65189.7
777600,9.64524e-06,1.79091e+08,4.53963e+09,4.6813e-07,2.85012e+11,2.76869e+12,2.3307e-06,6.11786e+09,4.00761e-07,149382,56197,1.8567e-07,1.19691e+07,4.80538,0.0177066,59995.2,442.496,22064,93020.4,8348.42,2.94415,0.931102,1.4748e-07,7.21585e+07,2.49691e+08,3.24775e-07,2.51828e+07,1.37941e+07,3.93983e+09,6.70448e+09,4.83478e+07,3.73233e+08,2.31393e-07,1.11868e-06,4.11675e-07,1.4516e+07,2.46648e+09,1.85452e-20,1.91099e-21,6.56717e-20,1.55708e-21,6.82462e-21,7.03234e-22,5.73056e-22,3.24872e-19,2.42242e-22,1.23758e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,195638,74527
864000,8.60489e-06,1.84409e+08,4.6024e+09,5.18011e-07,2.91561e+11,2.80255e+12,2.08424e-06,5.8871e+09,4.239e-07,144131,54250.9,1.8184e-07,1.19342e+07,5.37355,0.0187284,59994.6,418.579,22075.8,93020.2,8348.36,3.11403,0.984826,1.55995e-07,7.33586e+07,2.47405e+08,2.90435e-07,2.5183e+07,1.37397e+07,3.93974e+09,6.70408e+09,5.34801e+07,4.13054e+08,2.31357e-07,1.1401e-06,4.19559e-07,1.57987e+07,2.68518e+09,1.96159e-20,2.02665e-21,6.44483e-20,1.6206e-21,7.21867e-21,7.45796e-22,5.96432e-22,3.67637e-19,2.74256e-22,1.39838e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,221391,84210.7
950400,7.87842e-06,1.90207e+08,4.67301e+09,5.41882e-07,2.98988e+11,2.84129e+12,1.89719e-06,5.65007e+09,4.48445e-07,138591,52217.9,1.90021e-07,1.18955e+07,5.90332,0.0196361,59994.1,399.4,22085.3,93020.1,8348.32,3.26496,1.03255,1.65028e-07,7.44023e+07,2.45153e+08,2.64363e-07,2.51832e+07,1.36785e+07,3.93967e+09,6.70374e+09,5.85165e+07,4.52144e+08,2.33676e-07,1.15898e-06,4.26506e-07,1.70822e+07,2.90413e+09,2.07514e-20,2.14973e-21,6.31991e-20,1.68573e-21,7.63652e-21,7.91091e-22,6.20403e-22,4.11877e-19,3.07388e-22,1.56506e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,248032,94248
1.0368e+06,7.3472e-06,1.96456e+08,4.75131e+09,5.49817e-07,3.07263e+11,2.88485e+12,1.76175e-06,5.40735e+09,4.74626e-07,132866,50111.5,2.00387e-07,1.18531e+07,6.35709,0.0203816,59993.6,384.914,22092.5,93019.9,8348.28,3.38892,1.07175,1.74662e-07,7.52921e+07,2.42934e+08,2.45488e-07,2.51833e+07,1.36103e+07,3.9396e+09,6.70344e+09,6.34239e+07,4.90243e+08,2.38263e-07,1.17533e-06,4.32521e-07,1.83573e+07,3.12172e+09,2.19621e-20,2.28146e-21,6.19178e-20,1.75277e-21,8.08207e-21,8.39565e-22,6.45077e-22,4.57632e-19,3.41668e-22,1.73776e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,275586,104648
1.1232e+06,1.15837e-05,2.0313e+08,4.8371e+09,6.3562e-07,3.1635e+11,2.93313e+12,2.79172e-06,5.15943e+09,5.02809e-07,127002,47948.7,2.11745e-07,1.18068e+07,4.01188,0.0161718,59996,484.039,22043.4,93020.6,8348.5,2.68896,0.850404,1.85034e-07,7.60431e+07,2.40736e+08,3.89013e-07,2.51835e+07,1.35349e+07,3.93954e+09,6.70317e+09,6.8179e+07,5.27167e+08,2.44992e-07,1.18927e-06,4.37651e-07,1.96168e+07,3.33673e+09,2.32648e-20,2.4237e-21,6.05951e-20,1.82228e-21,8.56144e-21,8.91908e-22,6.70655e-22,5.04949e-19,3.77132e-22,1.91668e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,304080,115423
