t,Cent.Nivo,Cent.Treg,Cent.Teff_1_0,Peri.Nivo,Peri.Treg,Peri.Teff_1_0,Tum.Nivo,Tum.C1,Tum.Cp,Tum.APC,Tum.mAPC,Tum.Ckine_Mat,Tum.Treg,Tum.Teff_PD1,Tum.Teff_PD1_syn,Tum.Teff_PD1_Nivo,Tum.Teff_PD1_Nivo_syn,Tum.Teff_PD1_Nivo_PD1_syn,Tum.C1_PDL1_syn,Tum.C1_PDL2_syn,Tum.C1_PDL1_Teff_PD1,Tum.C1_PDL2_Teff_PD1,Tum.D1_0,Tum.Teff_1_0,Tum.Teff_exhausted,LN.Nivo,LN.APC,LN.mAPC,LN.nT_CD8,LN.nT_CD4,LN.aTreg_CD4,LN.Treg,LN.IL2,LN.Cp,LN.D1_0,LN.aT_1_0,LN.Teff_1_0,mAPC_Endo.Cp,mAPC_Endo.cpt,mAPC_Endo.M1,mAPC_Endo.cpt_M1,mAPC_Endo.D1_0,mAPC_Endo.p1_0,mAPC_Endo.p1_0_M1,mAPC_Surf.cpt_M1,mAPC_Surf.M1,mAPC_Surf.p1_0_M1,Cent.nT_CD8,Cent.nT_CD4,Tum.DAMP,Tum.C1_PDL1,Tum.C1_PDL2,LN.TCR_p1_0_M,mAPC_Surf.cpt_M,mAPC_Surf.p1_0_M
0,0,1.56555e+08,4.31173e+09,0,2.63524e+11,2.65872e+12,0,7.8109e+09,8.85972e-10,367091,69082.3,1.00737,1.21144e+07,60000,14989.5,0,0,0,67406.4,4381.42,25616.9,3967.93,3.26038e-10,5.44069e+07,2.71424e+08,0,2.51812e+07,1.38165e+07,3.94131e+09,6.71142e+09,1.42396e+07,1.10418e+08,292.616,3.18949e-09,1.17373e-09,6.63218e+06,1.13127e+09,4.11315e-23,3.94887e-24,9.99987e-20,4.90622e-24,1.51364e-23,1.45315e-24,1.80563e-24,1.63258e-20,1.33534e-23,8.89499e-21,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,9831.4,5356.56
86400,9.19572e-08,1.56621e+08,4.31286e+09,1.73392e-09,2.63546e+11,2.65926e+12,2.24258e-08,7.7146e+09,1.97225e-07,224742,91541.4,0.136333,1.21157e+07,495.319,0.181137,59504.7,43.6106,22245.5,92993.2,8339.83,30.1095,9.51529,7.25787e-08,5.62678e+07,2.69676e+08,3.12505e-09,2.51814e+07,1.3935e+07,3.94128e+09,6.71124e+09,1.44513e+07,1.11829e+08,2.91851e-07,4.14947e-07,1.52701e-07,6.67697e+06,1.13785e+09,8.83877e-21,8.65401e-22,8.84218e-20,9.33956e-22,3.25267e-21,3.18462e-22,3.43723e-22,2.81316e-20,2.08546e-23,1.32438e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,16940.8,7975.41
172800,7.66003e-08,1.57164e+08,4.31688e+09,2.77105e-09,2.6371e+11,2.66047e+12,1.88609e-08,7.56363e+09,2.48524e-07,190611,73749.2,0.0184507,1.21128e+07,588.01,0.19742,59412,40.0136,22245.5,92990.5,8338.98,32.8153,10.3696,9.14569e-08,5.84504e+07,2.67486e+08,2.62836e-09,2.51816e+07,1.39795e+07,3.94108e+09,6.71029e+09,1.60184e+07,1.23489e+08,2.86289e-07,7.73553e-07,2.84667e-07,7.01014e+06,1.19233e+09,1.14685e-20,1.15262e-21,7.7296e-20,1.10514e-21,4.22042e-21,4.24159e-22,4.06724e-22,5.80396e-20,4.29138e-23,2.42794e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,34951.4,14621.1
259200,6.64885e-08,1.58333e+08,4.32586e+09,3.36253e-09,2.64279e+11,2.66357e+12,1.62156e-08,7.4045e+09,2.66451e-07,180184,68352.2,0.00249714,1.21058e+07,682.846,0.212963,59317.2,37.0929,22245.2,92987.9,8338.16,35.3978,11.1849,9.80539e-08,6.0435e+07,2.65369e+08,2.25965e-09,2.51818e+07,1.39822e+07,3.94083e+09,6.7091e+09,1.88779e+07,1.45311e+08,2.77215e-07,8.80345e-07,3.23967e-07,7.62964e+06,1.2962e+09,1.23299e-20,1.24771e-21,7.41914e-20,1.14866e-21,4.53739e-21,4.5915e-22,4.22743e-22,8.98726e-20,6.66711e-23,3.60563e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,54121.3,21713.1
345600,5.96081e-08,1.6012e+08,4.34088e+09,3.67881e-09,2.65452e+11,2.66957e+12,1.44253e-08,7.23788e+09,2.80545e-07,174851,66029.4,0.000338056,1.2095e+07,766.513,0.22584,59233.5,34.9772,22244.9,92985.8,8337.49,37.5374,11.8603,1.03241e-07,6.22279e+07,2.63319e+08,2.01013e-09,2.51819e+07,1.3971e+07,3.9406e+09,6.70802e+09,2.26253e+07,1.74131e+08,2.66881e-07,9.20866e-07,3.38879e-07,8.45793e+06,1.43616e+09,1.29873e-20,1.31778e-21,7.29382e-20,1.19265e-21,4.77932e-21,4.84936e-22,4.38932e-22,1.22664e-19,9.11597e-23,4.82197e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,73868.4,29037.9
432000,1.46712e-07,1.62514e+08,4.36269e+09,5.55947e-09,2.6736e+11,2.67918e+12,3.56012e-08,7.05888e+09,3.01219e-07,170457,64329.3,4.58637e-05,1.20805e+07,312.971,0.143801,59687,54.9296,22243.9,92999.4,8341.79,23.905,7.55578,1.10849e-07,6.39884e+07,2.61177e+08,4.96097e-09,2.51821e+07,1.39524e+07,3.9404e+09,6.7071e+09,2.69679e+07,2.07647e+08,2.56758e-07,9.59854e-07,3.53226e-07,9.43729e+06,1.60223e+09,1.39342e-20,1.41743e-21,7.17097e-20,1.26081e-21,5.12778e-21,5.21606e-22,4.64019e-22,1.56777e-19,1.16615e-22,6.09042e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,94411.2,36676.5
518400,1.27781e-07,1.65501e+08,4.39182e+09,6.6395e-09,2.7009e+11,2.69289e+12,3.11268e-08,6.87136e+09,3.18199e-07,166080,62685.9,6.32574e-06,1.20625e+07,357.689,0.153766,59642.3,51.3713,22244.6,92997.8,8341.27,25.5611,8.07888,1.17097e-07,6.56009e+07,2.59058e+08,4.33753e-09,2.51823e+07,1.39276e+07,3.94023e+09,6.70633e+09,3.17024e+07,2.44258e+08,2.47764e-07,9.93642e-07,3.6566e-07,1.05265e+07,1.78728e+09,1.47284e-20,1.50209e-21,7.05238e-20,1.31441e-21,5.42007e-21,5.52763e-22,4.83745e-22,1.92372e-19,1.43212e-22,7.41701e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,115846,44665.3
604800,1.14908e-07,1.69063e+08,4.42859e+09,7.21082e-09,2.7369e+11,2.71104e+12,2.77878e-08,6.67697e+09,3.34577e-07,161627,60985.2,9.80663e-07,1.20411e+07,400.384,0.162772,59599.6,48.5301,22245,92996.3,8340.8,27.0577,8.55155,1.23124e-07,6.70333e+07,2.56996e+08,3.87215e-09,2.51825e+07,1.38967e+07,3.94009e+09,6.70568e+09,3.66724e+07,2.8274e+08,2.40499e-07,1.01848e-06,3.74799e-07,1.16927e+07,1.98567e+09,1.54885e-20,1.58308e-21,6.95007e-20,1.36525e-21,5.69978e-21,5.82563e-22,5.02455e-22,2.29139e-19,1.70706e-22,8.79049e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,137987,52936.3
691200,1.05788e-07,1.73179e+08,4.47319e+09,7.46918e-09,2.78186e+11,2.73386e+12,2.54421e-08,6.4763e+09,3.51318e-07,157223,59190.4,2.63246e-07,1.20164e+07,437.031,0.170134,59563,46.4304,22245.3,92995,8340.41,28.2812,8.93795,1.29285e-07,6.82926e+07,2.54986e+08,3.54522e-09,2.51826e+07,1.38595e+07,3.93997e+09,6.70513e+09,4.17591e+07,3.22161e+08,2.35325e-07,1.03908e-06,3.82382e-07,1.29101e+07,2.19295e+09,1.62644e-20,1.66587e-21,6.85186e-20,1.4164e-21,5.98531e-21,6.13033e-22,5.2128e-22,2.67051e-19,1.9907e-22,1.02099e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,160818,61484.2
777600,1.90995e-07,1.77825e+08,4.52569e+09,9.2699e-09,2.83581e+11,2.76146e+12,4.61524e-08,6.26729e+09,3.72398e-07,152745,57396.6,1.73858e-07,1.19884e+07,241.71,0.126313,59758.3,62.5293,22242,93002.3,8342.71,20.9985,6.63764,1.37043e-07,6.94794e+07,2.5293e+08,6.43118e-09,2.51828e+07,1.38159e+07,3.93987e+09,6.70466e+09,4.68751e+07,3.61832e+08,2.32432e-07,1.06317e-06,3.91246e-07,1.41587e+07,2.4057e+09,1.72341e-20,1.76936e-21,6.73937e-20,1.47951e-21,6.34213e-21,6.51116e-22,5.44504e-22,3.06268e-19,2.28409e-22,1.16813e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,184434,70344.9
